word,definition,example
silly,A word used for misbehaving children.,don't be a silly
silver,A soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography.,
silverware,Tableware made of silver or silver plate or pewter or stainless steel.,
similar,Marked by correspondence or resemblance.,similar food at similar prices
similarity,The quality of being similar.,
similarly,In like or similar manner; ; - samuel johnson.,He was similarly affected
simple,Any herbaceous plant having medicinal properties.,
simplification,An explanation that omits superfluous details and reduces complexity.,
simplify,Make simpler or easier or reduce in complexity or extent.,We had to simplify the instructions
simply,And nothing more.,I was merely asking
simultaneous,Occurring or operating at the same time.,a series of coincident events
simultaneously,At the same instant.,they spoke simultaneously
since,,
sincere,Open and genuine; not deceitful.,"he was a good man, decent and sincere"
sincerity,An earnest and sincere feeling.,
sing,Deliver by singing.,Sing Christmas carols
singer,A person who sings.,
singing,The act of singing vocal music.,
single,A base hit on which the batter stops safely at first base.,
singular,The form of a word that is used to denote a singleton.,
sink,Plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe.,
sir,Term of address for a man.,
sister,A female person who has the same parents as another person.,my sister married a musician
sister-in-law,The sister of your spouse.,
sit,Be seated.,
site,The piece of land on which something is located (or is to be located).,a good site for the school
sitting room,,
situation,The general state of things; the combination of circumstances at a given time; ; ; - franklin d.roosevelt.,the present international situation is dangerous
six,The cardinal number that is the sum of five and one.,
sixteen,The cardinal number that is the sum of fifteen and one.,
sixty,The cardinal number that is the product of ten and six.,
size,The physical magnitude of something (how big it is).,a wolf is about the size of a large dog
skate,Sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs.,
skateboard,A board with wheels that is ridden in a standing or crouching position and propelled by foot.,
skateboarder,Someone who skates on a skateboard.,
skateboarding,The sport of skating on a skateboard.,
skating,The sport of gliding on skates.,
skeleton,Something reduced to its minimal form.,the battalion was a mere skeleton of its former self
sketch,Preliminary drawing for later elaboration.,he made several studies before starting to paint
ski,Narrow wood or metal or plastic runners used in pairs for gliding over snow.,
skiing,A sport in which participants must travel on skis.,
skill,An ability that has been acquired by training.,
skilled,Having or showing or requiring special skill.,only the most skilled gymnasts make an Olympic team
skillful/skilful,Having or showing knowledge and skill and aptitude.,adept in handicrafts
skillfully/skilfully,With skill.,"fragments of a nearly complete jug, skillfully restored at the institute of archaeology"
skim,A thin layer covering the surface of a liquid.,there was a thin skim of oil on the water
skin,A natural protective body covering and site of the sense of touch.,your skin is the largest organ of your body
skip,A gait in which steps and hops alternate.,
skirt,Cloth covering that forms the part of a garment below the waist.,
sky,The atmosphere and outer space as viewed from the earth.,
skylark,Brown-speckled european lark noted for singing while hovering at a great height.,
skyscraper,A very tall building with many stories.,
skyward,Directed toward heaven or the sky.,the soul in its heavenward flight
slam,Winning all or all but one of the tricks in bridge.,
slang,Informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar.,their speech was full of slang expressions
